Property Type,Listing IDs,Occupancy,Nightly Rate,Monthly Income
"    'Guest suite',","   '39635123',","    32,","    105,","    1024,"
"    'Guest suite',","   '39646870',","    2,","    109,","    82,"
"    'Guest suite',","   '39756851',","    75,","    40,","    913,"
"    'Guest suite',","   '39816053',","    26,","    90,","    713,"
"    'Guest suite',","   '39973667',","    27,","    50,","    417,"
"    'Guest suite',","   '40031171',","    93,","    54,","    1526,"
"    'Guest suite',","   '40351551',","    81,","    55,","    1361,"
"    'Guest suite',","   '40486101',","    63,","    49,","    939,"
"    'Guest suite',","   '41474710',","    53,","    64,","    1024,"
"    'Guest suite',","   '41938663',","    70,","    47,","    1007,"
"    'Guest suite',","   '42141945',","    91,","    48,","    1328,"
"    'Guest suite',","   '42175570',","    38,","    44,","    510,"
"    'Guest suite',","   '42804402',","    51,","    70,","    1050,"
"    'Guest suite',","   '42975486',","    80,","    45,","    1095,"
"    'Guest suite',","   '43349371',","    85,","    31,","    806,"
"    'Guest suite',","   '43710826',","    42,","    93,","    1192,"
"    'Guest suite',","   '44392506',","    54,","    75,","    1233,"
"    'Guest suite',","   '45507330',","    44,","    100,","    1317,"
"    'Guest suite',","   '45513962',","    32,","    54,","    518,"
"    'Guest suite',","   '45704961',","    29,","    49,","    429,"
"    'Guest suite',","   '46292586',","    61,","    64,","    1184,"
"    'Guest suite',","   '46426687',","    52,","    96,","    1520,"
"    'Guest suite',","   '46546979',","    87,","    37,","    962,"
"    'Guest suite',","   '46562323',","    59,","    56,","    994,"
"    'Guest suite',","   '46698265',","    64,","    62,","    1194,"
"    'Guest suite',","   '46713234',","    49,","    75,","    1106,"
"    'Guest suite',","   '46866936',","    32,","    41,","    394,"
"    'Guest suite',","   '47180285',","    12,","    85,","    298,"
"    'Guest suite',","   '47291943',","    74,","    39,","    868,"
"    'Guest suite',","   '47577233',","    73,","    100,","    2175,"
"    'Guest suite',","   '47581396',","    67,","    52,","    1040,"
"    'Guest suite',","   '47950222',","    53,","    60,","    940,"
"    'Guest suite',","   '48108953',","    87,","    46,","    1219,"
"    'Guest suite',","   '48224551',","    28,","    85,","    723,"
"    'Guest suite',","   '48301810',","    77,","    37,","    870,"
"    'Guest suite',","   '5434459',","    79,","    128,","    3072,"
"    'Guesthouse',","   '13827592',","    45,","    64,","    875,"
"    'Guesthouse',","   '14221894',","    20,","    79,","    487,"
"    'Guesthouse',","   '15628526',","    23,","    100,","    708,"
"    'Guesthouse',","   '17497975',","    37,","    108,","    1224,"
"    'Guesthouse',","   '18072298',","    16,","    328,","    1613,"
"    'Guesthouse',","   '18566131',","    47,","    58,","    836,"
"    'Guesthouse',","   '18999200',","    48,","    77,","    1136,"
"    'Guesthouse',","   '19995669',","    55,","    106,","    1776,"
"    'Guesthouse',","   '20137487',","    78,","    67,","    1580,"
"    'Guesthouse',","   '21403358',","    59,","    114,","    2043,"
"    'Guesthouse',","   '21795243',","    100,","    66,","    2008,"
"    'Guesthouse',","   '22046519',","    83,","    62,","    1566,"
"    'Guesthouse',","   '22152683',","    56,","    74,","    1258,"
"    'Guesthouse',","   '23270378',","    48,","    94,","    1379,"
"    'Guesthouse',","   '23712598',","    92,","    50,","    1392,"
"    'Guesthouse',","   '24079425',","    37,","    151,","    1686,"
"    'Guesthouse',","   '24427443',","    36,","    43,","    473,"
"    'Guesthouse',","   '24856359',","    73,","    56,","    1237,"
"    'Guesthouse',","   '26745428',","    37,","    65,","    731,"
"    'Guesthouse',","   '27828001',","    56,","    79,","    1343,"
"    'Guesthouse',","   '28160587',","    57,","    50,","    863,"
"    'Guesthouse',","   '28843323',","    83,","    50,","    1263,"
"    'Guesthouse',","   '29760773',","    71,","    150,","    3250,"
"    'Guesthouse',","   '29780841',","    12,","    109,","    391,"
"    'Guesthouse',","   '31239289',","    78,","    36,","    855,"
"    'Guesthouse',","   '32308358',","    68,","    95,","    1955,"
